eolID,identification
1009136,
6793301,
190882,
18553066,
6793338,
159788,
190613,
52788329,
6792234,
188359,
160225,
6791893,
6791952,
6791971,
6791972,
18547161,
18547049,
6792012,
160700,
6792031,
18547031,
18547102,
189267,
6792075,
1029914,
1029898,
6792561,
162219,
1008281,
998631,"<p><i>B. dendrobatidis</i> infects the <a href=""http://en.wikipedia.org/wiki/Keratin"" title=""Keratin"">keratinized</a> skin of <a href=""http://en.wikipedia.org/wiki/Amphibian"" title=""Amphibian"">amphibians</a>. The fungus in the epidermis has a <a href=""http://en.wikipedia.org/wiki/Thallus"" title=""Thallus"">thallus</a> bearing a network of <a href=""http://en.wikipedia.org/wiki/Rhizoid"" title=""Rhizoid"">rhizoids</a> and smooth-walled, roughly spherical, inoperculate (without an <a href=""http://en.wikipedia.org/wiki/Operculum_(botany)"" title=""Operculum (botany)"">operculum</a>) <a href=""http://en.wikipedia.org/wiki/Sporangia"" title=""Sporangia"">sporangia</a>. Each sporangium produces a single tube to discharge spores.  (<a href=""http://en.wikipedia.org/w/index.php?title=Batrachochytrium_dendrobatidis"">Wikipedia</a>)</p>"
188686,
1031089,
196172,
196173,
1009874,
10468365,
6412890,
6412907,
195782,
196683,
18208828,
1009310,
196447,
6413210,
1007824,
1016452,
196724,
244871,
6413388,
6413470,
10284837,
46709269,
10285992,"<p><i>Cryptothecia rubrocincta</i> is a <a href=""http://en.wikipedia.org/wiki/Crustose_lichen"" title=""Crustose lichen"">crustose lichen</a>, because it grows in the form of a surface crust. The thallus, or body of the lichen is spread out flat and can be either tightly to loosely attached to the growing surface. It is 0.15–0.30 mm thick, and can be smooth, or have low radiating ridges. The older, central region of the lichen surface has many reproductive structures called <a href=""http://en.wikipedia.org/wiki/Isidia"" title=""Isidia"">isidia</a>; they resemble granules that are 0.1–0.4 by 0.1 mm. The species relies entirely on <a href=""http://en.wikipedia.org/wiki/Vegetative_reproduction"" title=""Vegetative reproduction"">vegetative</a> means to reproduce, and is not known to have any sexual structures. From the center outwards, three color zones can be differentiated in mature specimens; the first grayish-green, the second white, and finally a bright red cottony rim. </p><p>The lichen has a distinct prothallus—fibers of whitish fungal <a href=""http://en.wikipedia.org/wiki/Hypha"" title=""Hypha"">hyphae</a> at the edge that lack photobiont, and which project beyond the thallus onto the growing surface. The prothallus is red to whitish in the inner part, red the in outer part. The surface of the thallus does not have a well-defined cortex, an outer layer of well-packed hyphae. The medulla (a loosely arranged layer of hyphae below the cortex and photobiont zone) is whitish but the lower part is red. It has few to many <a href=""http://en.wikipedia.org/wiki/Calcium_oxalate"" title=""Calcium oxalate"">calcium oxalate</a> crystals that are 3–8 μm diameter. The hyphae of the medulla have many such crystals on the walls, that are 1–2 μm in diameter. The <a href=""http://en.wikipedia.org/wiki/Alga"" title=""Alga"">algal</a> photobiont (technically a phycobiont, as it is a green algal photosynthetic partner) is from the genus <i><a href=""http://en.wikipedia.org/wiki/Trentepohlia_(alga)"" title=""Trentepohlia (alga)"">Trentepohlia</a></i>. Normally, the algae is long and filamentous; when in the lichen state, it is divided into shorter filaments. The alga has a large <a href=""http://en.wikipedia.org/wiki/Chloroplast"" title=""Chloroplast"">chloroplast</a> that contains droplets of <a href=""http://en.wikipedia.org/wiki/Beta-carotene"" title=""Beta-carotene"">beta-carotene</a>. The lichen is heteromerous, meaning that the mycobiont and photobiont components are in well-defined layers, with the photobiont in a more or less distinct zone between the upper cortex and the medulla. Cells are single or a few cells aggregated, with dimensions of about 8–15 by 5–11 μm. </p><p>... (<a href=""http://en.wikipedia.org/w/index.php?title=Cryptothecia_rubrocincta"">Wikipedia</a>)</p>"
46709286,
43622535,
46709235,
244921,
6503211,
302235,"<p>As suggested by its name, <i>C. candelaris</i> is bright yellow, orange-yellow, or greenish-yellow. It has a powdery (leprose) appearance, a superficial thallus and lacks <a href=""http://en.wikipedia.org/wiki/Apothecia"" title=""Apothecia"">apothecia</a> and <a href=""http://en.wikipedia.org/wiki/Isidium"" title=""Isidium"">isidia</a>. Because its thallus is made entirely of powdery <a href=""http://en.wikipedia.org/wiki/Soredia"" title=""Soredia"">soredia</a> that covers the substrate like a crust, <i>Chrysothrix candelaris</i> is a <a href=""http://en.wikipedia.org/wiki/Leprose_lichen"" title=""Leprose lichen"">leprose lichen</a>. </p><p>Laundon described three <a href=""http://en.wikipedia.org/wiki/Chemotype"" title=""Chemotype"">chemotypes</a> of this species: one with the chemical <a href=""http://en.wikipedia.org/wiki/Cyclin"" title=""Cyclin"">cyclin</a>, one with <a href=""http://en.wikipedia.org/w/index.php?title=Pinastric_acid&amp;action=edit&amp;redlink=1"" title=""Pinastric acid (page does not exist)"">pinastric acid</a>, and a third with both of these compounds.  (<a href=""http://en.wikipedia.org/w/index.php?title=Chrysothrix_candelaris"">Wikipedia</a>)</p>"
995182,
196121,
6413861,
243660,
43622628,
43622626,
1007499,
